token_id	token	frequency
0	<pad>	0
1	<unk>	0
2	<bos>	0
3	<eos>	0
4	లో	38698268
5	ను	31844171
6	కు	27423110
7	లు	26589620
8	గా	22099114
9	ఈ	20986873
10	తో	18197812
11	ని	15948571
12	ం	15361363
13	ారు@@	14039462
14	ు	13481412
15	కి	12469964
16	ంది@@	9708504
17	న	9642660
18	కూడా	8660251
19	పై	8326726
20	ంగా	8107590
21	లు@@	7949900
22	మరియు	7541870
23	ం@@	7362285
24	ఆ	7221795
25	ను@@	7133355
26	ఒక	6917260
27	ాన్ని	6550092
28	ానికి	5812591
29	ల	5543473
30	ము@@	5500214
31	న@@	5415955
32	గా@@	5409100
33	ు@@	5297076
34	నే	5275285
35	నుంచి	5271699
36	స్	5263807
37	ని@@	5145437
38	అని	5070835
39	ః	4926786
40	ా@@	4763433
41	ము	4757506
42	స్@@	4753104
43	నా@@	4314673
44	నే@@	4289662
45	తన	4270369
46	కు@@	4125325
47	ా	4037795
48	కోసం	3983815
49	చేశారు@@	3901094
50	లేదు@@	3835148
51	ల@@	3713780
52	ాడు@@	3694071
53	అ@@	3640987
54	చాలా	3542779
55	ఆయన	3523345
56	వి@@	3511234
57	ఁ	3495628
58	ఇది	3489289
59	క@@	3475598
60	ది@@	3467930
61	లను	3449948
62	లో@@	3398675
63	ఉంది@@	3389391
64	ే	3338531
65	కా@@	3161071
66	లోని	3109890
67	ఉన్న	3097227
68	మైన	3096795
69	రా@@	3081829
70	నా	3050962
71	వారు	2945394
72	మీరు	2920729
73	యొక్క	2919326
74	అయితే	2895625
75	నుండి	2876247
76	సినిమా	2802359
77	మీ	2788227
78	చేయ@@	2778692
79	ందుకు	2732922
80	ఓ	2702477
81	వ@@	2702082
82	సినిమా@@	2672386
83	చేసిన	2658338
84	ల్లో	2628778
85	రూ@@	2577863
86	ది	2575726
87	ాలని	2553294
88	డానికి	2529209
89	కే	2450811
90	కానీ	2440926
91	మే@@	2432575
92	కి@@	2431679
93	రెండు	2381033
94	వారి	2378067
95	ాయి@@	2376492
96	ద్వారా	2359730
97	తర్వాత	2359498
98	వరకు	2348469
99	లకు	2311857
100	ప్రభుత్వం	2293788
101	ట్లు	2287414
102	క	2229596
103	మంది	2225656
104	పై@@	2184459
105	త@@	2112615
106	ఆమె	2112303
107	అది	2078513
108	లేదా	2066065
109	రు@@	2036032
110	ప్పుడు	2002565
111	తో@@	2000141
112	మా@@	1998172
113	ే@@	1996855
114	తెలిపారు@@	1991735
115	ఉంటుంది@@	1987072
116	పాటు	1980918
117	గురించి	1964006
118	ాలు	1955823
119	పార్టీ	1936473
120	కొన్ని	1916197
121	ఏ	1910146
122	తమ	1897683
123	రెడ్డి	1884747
124	లా	1882541
125	ఉండ@@	1870208
126	అనే	1868745
127	ఆ@@	1856326
128	ఇప్పుడు	1845464
129	రి@@	1837989
130	వ	1821148
131	చెప్ప@@	1817945
132	ఁ@@	1786575
133	అన్ని	1776523
134	మంత్రి	1774433
135	ించారు@@	1773822
136	చేసి	1754993
137	ి@@	1746339
138	మా	1737992
139	ఇక	1736116
140	అన్నారు@@	1723180
141	య@@	1706474
142	ుడు	1692840
143	స్తుంది@@	1691959
144	లోకి	1676988
145	మని	1644116
146	న్	1629839
147	నీ@@	1624747
148	ఇ@@	1623372
149	దు@@	1615805
150	మీద	1612836
151	ఉన్న@@	1599164
152	మీ@@	1584502
153	నీ	1584436
154	స్తోంది@@	1583323
155	చెందిన	1562851
156	కొత్త	1562053
157	రాష్ట్ర	1554454
158	మంచి	1546426
159	మరో	1528962
160	న్@@	1528528
161	దీంతో	1525373
162	చేసింది@@	1514763
163	ప్రస్తుత@@	1509502
164	జిల్లా	1509325
165	మాత్రం	1507089
166	మధ్య	1501901
167	తుంది@@	1498383
168	కాదు@@	1492304
169	ారని	1483892
170	ఉన్నాయి@@	1476224
171	చెప్పారు@@	1475435
172	తెలంగాణ	1466119
173	వల్ల	1455526
174	స@@	1455198
175	కుండా	1455197
176	ఏ@@	1453706
177	ప్రతి	1448085
178	వచ్చు@@	1437256
179	మన	1430266
180	ి	1422917
181	మే	1419875
182	మ@@	1415221
183	మాత్రమే	1411991
184	ండి@@	1411454
185	ముందు	1357898
186	సమయంలో	1356608
187	ఇప్పటి@@	1351367
188	డం	1349472
189	లతో	1339672
190	డు@@	1334023
191	వారికి	1323542
192	సు@@	1312532
193	తోంది@@	1309371
194	ాలి@@	1301044
195	వు@@	1294814
196	డు	1291897
197	పెద్ద	1287606
198	వా@@	1254446
199	ంది	1246847
200	రెడ్డి@@	1246447
201	ఎలా	1237294
202	డి@@	1229271
203	్లో	1226995
204	వచ్చిన	1223693
205	విషయం	1222273
206	యా@@	1216010
207	పోలీసులు	1213516
208	మూడు	1206764
209	కరోనా	1202118
210	ప@@	1195480
211	లా@@	1195331
212	పని	1191159
213	తే	1190763
214	శ్రీ	1187636
215	ఇతర	1183744
216	సీఎం	1183539
217	వి	1183338
218	వంటి	1180204
219	యు@@	1178397
220	ఇవ్వ@@	1176270
221	కాంగ్రెస్	1175990
222	పార్టీ@@	1172176
223	అవకాశం	1171588
224	కో@@	1160298
225	ఈ@@	1142761
226	ః@@	1139394
227	వద్ద	1138003
228	ర్@@	1134984
229	లేదని	1133737
230	అంటూ	1124301
231	తి@@	1118940
232	అంటే	1118007
233	త	1109568
234	్@@	1109410
235	సి@@	1109150
236	ఏర్పాటు	1107841
237	్	1107806
238	సందర్భంగా	1105641
239	రోజు	1105268
240	కలిసి	1100023
241	ర@@	1098755
242	ట@@	1098122
243	దాని	1096861
244	అదే	1093988
245	వే@@	1093128
246	కేసు@@	1090840
247	అనేక	1087702
248	నిర్వహించ@@	1085447
249	పూర్తి	1083846
250	గత	1079334
251	మన@@	1073250
252	ఇలా	1070372
253	లే@@	1070303
254	అందు@@	1070190
255	ందని	1067702
256	లలో	1064056
257	శ్రీ@@	1060073
258	ప్రభుత్వ	1058274
259	లోనే	1046853
260	తెలుగు	1046805
261	అలాగే	1044219
262	విడుదల	1044075
263	మొత్తం	1043432
264	చేసే	1034525
265	లేని	1027695
266	శాతం	1026919
267	భారీ	1012802
268	జరిగిన	1012622
269	గ@@	1007986
270	తరువాత	1007690
271	తన@@	1005852
272	ప్రధాన	998948
273	కే@@	993124
274	మి@@	988143
275	విధంగా	984355
276	చే@@	983131
277	చేస్తున్నారు@@	978729
278	నని	977413
279	తాను	975475
280	జగన్	971605
281	శాఖ	964556
282	అధికారులు	964473
283	కాని	962139
284	ారు	960366
285	ప్రజల@@	958759
286	యి@@	956458
287	చిత్రం	954389
288	ప్రత్యేక	950198
289	కేంద్ర	948609
290	గానే	948134
291	ఎక్కువ@@	947784
292	చిన్న	945353
293	పెద్ద@@	944361
294	తీసుకు@@	938802
295	బీజేపీ	935988
296	తెలు@@	933604
297	ఎక్కువ	930203
298	ముఖ్య@@	929423
299	మరింత	928623
300	వచ్చే	927193
301	మొదటి	925105
302	వేల	922232
303	కంటే	922127
304	పో@@	909727
305	తెలిసిందే@@	905267
306	తాజాగా	901006
307	అత@@	896168
308	చేయడం	894535
309	స్తున్నారు@@	890371
310	ించి	887888
311	తే@@	885095
312	పి@@	880598
313	కేసీఆర్	879407
314	కేవలం	870125
315	ులు	863150
316	పేర్కొన్న@@	860117
317	సీ@@	858865
318	జరిగింది@@	857631
319	లేకుండా	857080
320	చేస్తున్న@@	853774
321	మీడియా@@	853089
322	మారి@@	851919
323	కోట్ల	850311
324	విషయంలో	849689
325	పేరు@@	849503
326	పేరు	844888
327	పు	844879
328	తా@@	841415
329	వివిధ	841347
330	చేయాలని	841000
331	బాగా	840592
332	ప్రజలు	837433
333	ంచారు@@	837039
334	వెంటనే	836609
335	పు@@	831862
336	టి@@	829733
337	వ్యక్తం	824085
338	ముఖ్యమంత్రి	823603
339	ఆయన@@	823393
340	ప్రశ్న@@	822738
341	సంబంధించిన	820636
342	గల	817435
343	వచ్చింది@@	815924
344	ఉన్నారు@@	815245
345	భారత	814385
346	మును	811128
347	పాత్ర@@	810556
348	ఇక్కడ	808318
349	దా@@	807669
350	ఓ@@	805188
351	ఇంకా	803846
352	ంలో	803414
353	అయితే@@	799653
354	యు	799495
355	పవన్	796120
356	ుగా	792024
357	చూడ@@	789035
358	నూ	786982
359	వారు@@	785462
360	ఎ@@	784364
361	కలిగి	781061
362	సోషల్	780565
363	లక్షల	778171
364	స్తారు@@	776831
365	నేపథ్యంలో	775719
366	ఎంత	774196
367	అక్కడ	773342
368	ఆమె@@	772414
369	చ@@	769255
370	కొని	769017
371	ంబు@@	767695
372	ప్రభుత్వ@@	767102
373	స్టార్	764252
374	మాజీ	762166
375	పలు	761368
376	వచ్చి	755714
377	ఎంతో	751370
378	సం@@	748307
379	వాటిని	748224
380	ద@@	745789
381	అవసరం	741192
382	ఇందులో	741143
383	లేక	738458
384	త్@@	738012
385	కీ	737849
386	బి@@	737343
387	చంద్రబాబు	736924
388	వెల్లడించ@@	736580
389	వెళ్ల@@	736497
390	ముందు@@	735911
391	ట్టు	731036
392	తెలంగాణ@@	727887
393	టీ@@	727301
394	ుడు@@	726790
395	తిరిగి	726185
396	చర్యలు	721250
397	ప్ర@@	720772
398	చే	720655
399	కె@@	720053
400	ఆర్థిక	718550
401	ప్పటికీ	716373
402	వారిని	715863
403	సంస్థ	713929
404	క్@@	713747
405	తెలుసు@@	713529
406	ఎలాంటి	713503
407	మహా@@	712757
408	చెప్పు@@	707303
409	అతని	707145
410	స్తూ	704077
411	ఉంటాయి@@	703377
412	అయిన	702168
413	కుని	700900
414	అభివృద్ధి	698742
415	రావు	697302
416	దని	696470
417	పాల్గొన్న@@	695027
418	కాబట్టి	694834
419	కుంది@@	693299
420	మనం	691686
421	విమర్శ@@	685790
422	దాదాపు	684771
423	జ@@	684391
424	మ్@@	683852
425	రోజు@@	683833
426	మో@@	680299
427	గ	678758
428	పని@@	677391
429	రాష్ట్రంలో	676470
430	ములు	676370
431	చేయడానికి	674317
432	పెట్ట@@	674216
433	ఏం	673722
434	రా	673554
435	ప్రతి@@	673139
436	పరిస్థితి	668887
437	వ్యక్తి	667186
438	యే	666891
439	ఉందని	666089
440	ప్రకారం	664693
441	అవు@@	664113
442	ఎన్నికల	663326
443	మాట్లాడ@@	662525
444	గారు	661582
445	ఇంటి@@	658281
446	మేరకు	657843
447	రాజకీయ	655508
448	అనంతరం	652074
449	హైదరాబాద్	651821
450	యే@@	651379
451	ఎమ్మెల్యే	648361
452	కారణంగా	648159
453	విద్యార్థుల@@	648100
454	ాలను	646353
455	ఉంటే	644791
456	టి	642184
457	ఇదే	642011
458	తి	641321
459	నాలుగు	638685
460	తాయి@@	638563
461	అత్యంత	637959
462	ఎందుకు	637916
463	ఏడాది	637164
464	ంబు	635635
465	లి@@	635598
466	బ@@	635114
467	అలా	634951
468	కుమార్	632825
469	హ@@	629324
470	పొంద@@	629111
471	వ్యాఖ్య@@	626544
472	స్తాయి@@	624363
473	ించిన	622475
474	ధర@@	620981
475	సిద్ధ@@	620818
476	ఇటీవల	616833
477	నమోదు	616277
478	తెలుగు@@	615550
479	అందించ@@	615546
480	ఐ@@	615405
481	నున్నారు@@	615270
482	ంగా@@	615045
483	హైదరాబాద్@@	615013
484	అందుకే	612702
485	ఇలాంటి	612662
486	హీరో@@	611911
487	చిత్ర@@	610899
488	గో@@	607618
489	ఆఫ్	606519
490	దీని	606037
491	మ్	605960
492	రోజుల	605895
493	చేస్తున్న	605850
494	వీటి@@	604524
495	చు@@	602819
496	నెల	600014
497	సంగతి	599998
498	పూర్తిగా	598326
499	న్న	598094
500	డ్	597557
501	డ్@@	597534
502	సర్వ@@	597485
503	్ని	597202
504	డ@@	595178
505	రాజు	594907
506	వలన	594693
507	జాతీయ	594270
508	తనకు	594001
509	గతంలో	593637
510	నో@@	592876
511	లేదు	592323
512	ించ@@	590644
513	స్తే	590608
514	సంస్థ@@	590213
515	తక్కువ	589672
516	ఎన్నికల్లో	588903
517	మైన@@	588616
518	తప్ప@@	588117
519	బయట@@	587590
520	రో@@	586842
521	వచ్చిన@@	584034
522	వారి@@	583885
523	ఒక్క	583633
524	జి@@	583390
525	ప్రారంభించ@@	583014
526	పోయింది@@	582069
527	మళ్లీ	580148
528	కొనుగోలు	578411
529	భాగంగా	578182
530	చేస్తూ	578116
531	కాకుండా	577435
532	ప్రకటించ@@	577271
533	కేసు	577104
534	అసలు	576286
535	చేశాడు@@	575856
536	చేసి@@	575198
537	కీలక	574764
538	సార్లు	574606
539	కోర@@	573222
540	కానీ@@	572612
541	వాడు@@	572130
542	మరి	570290
543	డా@@	569913
544	ాల్సిన	568926
545	దేశంలో	568494
546	ాడు	568041
547	రు	567821
548	ుఁడు	567710
549	ఫోన్	567611
550	తారు@@	567403
551	నో	567098
552	టీడీపీ	566778
553	ుని	565912
554	రీ@@	565513
555	వైపు	564630
556	జిల్లాలో	563981
557	టానికి	562556
558	భారత్	562196
559	నుంది@@	561673
560	ఇచ్చిన	560975
561	అభిమానుల@@	560357
562	యా	559235
563	అంది@@	558361
564	తెలియ@@	558240
565	ాలు@@	558003
566	రావు@@	554447
567	మీడియా	554395
568	కొంత	554208
569	ఆర్@@	553996
570	సా@@	552557
571	పరీక్ష@@	552444
572	రాత్రి	551157
573	చేసుకో@@	550526
574	లే	549993
575	దృష్టి@@	549592
576	హీరో	549156
577	స్థాయిలో	548915
578	చెబుతున్న@@	548196
579	ఉపయోగించ@@	547436
580	ప్రత్యేక@@	546351
581	తీవ్ర	545434
582	య	545019
583	విషయాల@@	543835
584	అంత@@	543159
585	దే@@	542653
586	ో	542015
587	కార్యక్రమంలో	542004
588	కథ@@	541955
589	మాట్లాడుతూ	541567
590	లపై	541142
591	ప్రేమ@@	539659
592	కేంద్రం	539457
593	మునకు	538626
594	తొలి	537175
595	దీనికి	535947
596	గ్రామ@@	535947
597	అను@@	535043
598	ఉండే	534896
599	డిమాండ్	534666
600	తీసుకోవ@@	534157
601	తు@@	533082
602	తల@@	532374
603	చేశా@@	531857
604	రాజు@@	531475
605	ప్రధాని	530812
606	కనిపిస్@@	530702
607	ర్	530249
608	కొందరు	530195
609	నిర్ణయం	528312
610	పెళ్లి	527796
611	ఉన్నా@@	526502
612	నట్లు	525512
613	ాను@@	525224
614	ప్రపంచ@@	524179
615	చేసుకున్న@@	524093
616	సింగ్	523156
617	గల@@	523011
618	కాదు	522803
619	బాబు	522239
620	లాంటి	521947
621	లోనూ	521839
622	ఇద్దరు	521639
623	రాష్ట్ర@@	521120
624	పెరిగి@@	520156
625	అనేది	518472
626	మున	518071
627	సూచించ@@	517735
628	బ్రహ్మ@@	517368
629	అన@@	516824
630	వీ@@	516771
631	సమయం	516706
632	అయినా	516516
633	దానికి	515186
634	కింద	514910
635	వ్యాప్తంగా	512767
636	ట	512611
637	ఉదయం	512477
638	వై@@	512187
639	ప్రజల	511319
640	దేశ	511300
641	ఏపీ	510390
642	మధ్య@@	510302
643	ముగా	509407
644	సంబంధించి	509381
645	సమాచారం	508050
646	నాయకులు	507345
647	రైతు@@	506690
648	శ@@	506198
649	కృష్ణ@@	505435
650	రిలీజ్	505427
651	ించు@@	500534
652	సమాచారం@@	498683
653	అమలు	496563
654	అంటున్న@@	496145
655	కాలంలో	493200
656	ఉ@@	493164
657	అధ్యక్షుడు	492612
658	కోవడం	492582
659	చేయాలి@@	491770
660	ండి	491438
661	డి	491297
662	పా@@	490248
663	ూ	489738
664	బో@@	489413
665	ఎన్నో	489193
666	వా	488275
667	వరకూ	487161
668	చేరు@@	487125
669	శక్తి	486631
670	చేస్తుంది@@	486479
671	దేశ@@	485926
672	తెలిపి@@	485279
673	కొత్త@@	484209
674	రెండో	483718
675	పోటీ	483492
676	పనులు	483281
677	ఉపయోగ@@	483249
678	గు@@	481910
679	పడ్డారు@@	480804
680	వివరించ@@	480386
681	ఇండియా	479006
682	చికిత్స	478945
683	బల@@	478768
684	ల్	478337
685	ఒక@@	478246
686	నేతలు	477677
687	గుర్తించ@@	477675
688	సమావేశ@@	477552
689	ప్రపంచ	476957
690	వీడియో@@	476863
691	ప్రచారం	476071
692	ంటే	476008
693	జాగ్రత్త@@	474925
694	సి	474627
695	మహిళ@@	474467
696	రి	474232
697	చి@@	471641
698	కా	471447
699	రే@@	471381
700	రాజ@@	471290
701	కుటుంబ	470770
702	ాల	470309
703	చేసే@@	470066
704	ధర	469870
705	కంపెనీ	469741
706	ంచి	469372
707	కాలం	469333
708	అడుగు@@	468740
709	సైతం	468645
710	గంటల	468165
711	ప్@@	467068
712	జరుగు@@	466380
713	కోట్లు	464985
714	అయ్య@@	464870
715	పాత్ర	464066
716	చేయడం@@	463971
717	తాము	463694
718	ఉండాలి@@	463553
719	విషయాన్ని	462786
720	ద్@@	462568
721	స్పష్టం	462286
722	కలిగి@@	462105
723	ప్రముఖ	461974
724	కార్యక్రమాల@@	461957
725	ఎస్@@	461309
726	పరిస్థితుల@@	460961
727	ల్@@	460681
728	చేర@@	460566
729	అవి	460488
730	ో@@	459084
731	ించింది@@	458527
732	చేపట్ట@@	458129
733	టం	457157
734	కో	454934
735	పిల్లల@@	454774
736	మె@@	454236
737	ఎం@@	453331
738	కున్న	453024
739	య్య@@	452622
740	పల్లి	452038
741	ఎన్@@	451544
742	తయారు	450664
743	సాధారణ@@	450512
744	ఇచ్చారు@@	449627
745	క్రమంలో	449344
746	దగ్గర	449104
747	తమ@@	448926
748	ాలంటే	447987
749	ట్@@	447757
750	గొప్ప	447483
751	ఎమ్మెల్యే@@	447215
752	మై@@	446816
753	అన్న@@	445689
754	కోవాలని	445649
755	విజయం	445493
756	ట్	445218
757	వైసీపీ	445077
758	అధికారుల@@	444856
759	వీడియో	444451
760	ులు@@	444400
761	ఏక@@	443384
762	దానిని	443254
763	తీవ్ర@@	443137
764	తీసుకున్న@@	443065
765	సారి	442575
